timestamp,position,speed,angular_velocity
1748487622800,0.000930,0.004686,0.000000
1748487622807,0.000946,0.004686,0.000000
1748487622815,0.000963,0.004686,0.000000
1748487622823,0.000980,0.004686,0.000000
1748487622831,0.000997,0.004686,0.000000
1748487622839,0.001013,0.004686,0.000000
1748487622847,0.001030,0.004686,0.000000
1748487622855,0.001048,0.004686,0.000000
1748487622863,0.001065,0.004686,0.000000
1748487622871,0.001176,0.002106,0.000000
1748487622879,0.001193,0.002106,0.000000
1748487622887,0.001210,0.002106,0.000000
1748487622895,0.001226,0.002106,0.000000
1748487622903,0.001244,0.002106,0.000000
1748487622911,0.001261,0.002106,0.000000
1748487622919,0.001279,0.002106,0.000000
1748487622927,0.001297,0.002106,0.000000
1748487622935,0.001313,0.002106,0.000000
1748487622943,0.001331,0.002106,0.000000
1748487622951,0.001350,0.002106,0.000000
1748487622959,0.001367,0.002106,0.000000
1748487622967,0.001384,0.002106,0.000000
1748487622975,0.001401,0.002106,0.000000
1748487622983,0.001419,0.002106,0.000000
1748487622991,0.001436,0.002106,0.000000
1748487622999,0.001454,0.002106,0.000000
1748487623007,0.001472,0.002106,0.000000
1748487623015,0.001489,0.002106,0.000000
1748487623023,0.001505,0.002106,0.000000
1748487623031,0.001522,0.002106,0.000000
1748487623039,0.001538,0.002106,0.000000
1748487623047,0.001554,0.002106,0.000000
1748487623055,0.001571,0.002106,0.000000
1748487623063,0.001587,0.002106,0.000000
1748487623071,0.001350,0.005416,0.000000
1748487623079,0.001366,0.005416,0.000000
1748487623087,0.001382,0.005416,0.000000
1748487623095,0.001397,0.005416,0.000000
1748487623103,0.001413,0.005416,0.000000
1748487623111,0.001429,0.005416,0.000000
1748487623119,0.001444,0.005416,0.000000
1748487623127,0.001459,0.005416,0.000000
1748487623135,0.001475,0.005416,0.000000
1748487623143,0.001491,0.005416,0.000000
1748487623151,0.001506,0.005416,0.000000
1748487623159,0.001521,0.005416,0.000000
1748487623167,0.001536,0.005416,0.000000
1748487623175,0.001551,0.005416,0.000000
1748487623183,0.001566,0.005416,0.000000
1748487623191,0.001581,0.005416,0.000000
1748487623199,0.001596,0.005416,0.000000
1748487623207,0.001611,0.005416,0.000000
1748487623215,0.001627,0.005416,0.000000
1748487623223,0.001642,0.005416,0.000000
1748487623232,0.001658,0.005416,0.000000
1748487623239,0.001672,0.005416,0.000000
1748487623247,0.001687,0.005416,0.000000
1748487623255,0.001702,0.005416,0.000000
1748487623263,0.001718,0.005416,0.000000
1748487623271,0.001733,0.005416,0.000000
1748487623279,0.001747,0.005416,0.000000
1748487623287,0.001949,0.004296,0.000000
1748487623295,0.001963,0.004296,0.000000
1748487623303,0.001978,0.004296,0.000000
1748487623311,0.001993,0.004296,0.000000
1748487623319,0.002009,0.004296,0.000000
1748487623327,0.002022,0.004296,0.000000
1748487623335,0.002037,0.004296,0.000000
1748487623343,0.002052,0.004296,0.000000
1748487623351,0.002068,0.004296,0.000000
1748487623359,0.002083,0.004296,0.000000
1748487623367,0.002099,0.004296,0.000000
1748487623375,0.002114,0.004296,0.000000
1748487623383,0.002128,0.004296,0.000000
1748487623391,0.002144,0.004296,0.000000
1748487623399,0.002159,0.004296,0.000000
1748487623407,0.002173,0.004296,0.000000
1748487623415,0.002188,0.004296,0.000000
1748487623423,0.002203,0.004296,0.000000
1748487623431,0.002217,0.004296,0.000000
1748487623439,0.002232,0.004296,0.000000
1748487623447,0.002247,0.004296,0.000000
1748487623455,0.002262,0.004296,0.000000
1748487623463,0.002277,0.004296,0.000000
1748487623471,0.002168,0.003558,0.000000
1748487623479,0.002183,0.003558,0.000000
1748487623487,0.002199,0.003558,0.000000
1748487623495,0.002214,0.003558,0.000000
1748487623503,0.002230,0.003558,0.000000
1748487623511,0.002245,0.003558,0.000000
1748487623520,0.002262,0.003558,0.000000
1748487623527,0.002278,0.003558,0.000000
1748487623535,0.002293,0.003558,0.000000
1748487623543,0.002308,0.003558,0.000000
1748487623552,0.002323,0.003558,0.000000
1748487623559,0.002339,0.003558,0.000000
1748487623567,0.002354,0.003558,0.000000
1748487623575,0.002370,0.003558,0.000000
1748487623583,0.002386,0.003558,0.000000
1748487623591,0.002401,0.003558,0.000000
1748487623599,0.002416,0.003558,0.000000
1748487623607,0.002433,0.003558,0.000000
1748487623615,0.002448,0.003558,0.000000
1748487623623,0.002463,0.003558,0.000000
1748487623631,0.002478,0.003558,0.000000
1748487623639,0.002493,0.003558,0.000000
1748487623647,0.002508,0.003558,0.000000
1748487623655,0.002524,0.003558,0.000000
1748487623663,0.002539,0.003558,0.000000
1748487623671,0.002515,0.001840,0.000000
1748487623679,0.002531,0.001840,0.000000
1748487623687,0.002547,0.001840,0.000000
1748487623695,0.002562,0.001840,0.000000
1748487623703,0.002578,0.001840,0.000000
1748487623711,0.002594,0.001840,0.000000
1748487623719,0.002609,0.001840,0.000000
1748487623727,0.002625,0.001840,0.000000
1748487623735,0.002641,0.001840,0.000000
1748487623743,0.002657,0.001840,0.000000
1748487623751,0.002673,0.001840,0.000000
1748487623759,0.002688,0.001840,0.000000
1748487623767,0.002704,0.001840,0.000000
1748487623775,0.002720,0.001840,0.000000
1748487623783,0.002736,0.001840,0.000000
1748487623791,0.002751,0.001840,0.000000
1748487623799,0.002766,0.001840,0.000000
1748487623807,0.002782,0.001840,0.000000
1748487623815,0.002797,0.001840,0.000000
1748487623823,0.002813,0.001840,0.000000
1748487623831,0.002829,0.001840,0.000000
1748487623839,0.002844,0.001840,0.000000
1748487623847,0.002860,0.001840,0.000000
1748487623855,0.002876,0.001840,0.000000
1748487623863,0.002891,0.001840,0.000000
1748487623871,0.003275,0.007327,0.000000
1748487623879,0.003292,0.007327,0.000000
1748487623887,0.003307,0.007327,0.000000
1748487623895,0.003322,0.007327,0.000000
1748487623903,0.003339,0.007327,0.000000
1748487623911,0.003355,0.007327,0.000000
1748487623919,0.003372,0.007327,0.000000
1748487623927,0.003388,0.007327,0.000000
1748487623935,0.003403,0.007327,0.000000
1748487623943,0.003419,0.007327,0.000000
1748487623951,0.003437,0.007327,0.000000
1748487623959,0.003453,0.007327,0.000000
1748487623967,0.003468,0.007327,0.000000
1748487623975,0.003483,0.007327,0.000000
1748487623983,0.003499,0.007327,0.000000
1748487623991,0.003513,0.007327,0.000000
1748487623999,0.003529,0.007327,0.000000
1748487624007,0.003546,0.007327,0.000000
1748487624015,0.003561,0.007327,0.000000
1748487624023,0.003577,0.007327,0.000000
1748487624031,0.003591,0.007327,0.000000
1748487624039,0.003607,0.007327,0.000000
1748487624047,0.003623,0.007327,0.000000
1748487624056,0.003639,0.007327,0.000000
1748487624063,0.003654,0.007327,0.000000
1748487624071,0.003375,0.009719,0.000000
1748487624079,0.003390,0.009719,0.000000
1748487624087,0.003406,0.009719,0.000000
1748487624095,0.003422,0.009719,0.000000
1748487624103,0.003437,0.009719,0.000000
1748487624111,0.003452,0.009719,0.000000
1748487624119,0.003468,0.009719,0.000000
1748487624127,0.003483,0.009719,0.000000
1748487624135,0.003498,0.009719,0.000000
1748487624143,0.003515,0.009719,0.000000
1748487624151,0.003530,0.009719,0.000000
1748487624159,0.003545,0.009719,0.000000
1748487624167,0.003561,0.009719,0.000000
1748487624175,0.003577,0.009719,0.000000
1748487624183,0.003593,0.009719,0.000000
1748487624191,0.003609,0.009719,0.000000
1748487624199,0.003624,0.009719,0.000000
1748487624207,0.003639,0.009719,0.000000
1748487624215,0.003654,0.009719,0.000000
1748487624223,0.003668,0.009719,0.000000
1748487624232,0.003684,0.009719,0.000000
1748487624239,0.003696,0.009719,0.000000
1748487624247,0.003710,0.009719,0.000000
1748487624255,0.003723,0.009719,0.000000
1748487624263,0.003737,0.009719,0.000000
1748487624271,0.003750,0.009719,0.000000
1748487624279,0.003764,0.009719,0.000000
1748487624287,0.004153,0.004164,0.000000
1748487624295,0.004167,0.004164,0.000000
1748487624303,0.004181,0.004164,0.000000
1748487624311,0.004195,0.004164,0.000000
1748487624319,0.004209,0.004164,0.000000
1748487624327,0.004223,0.004164,0.000000
1748487624335,0.004237,0.004164,0.000000
