trajectory_id,timestamp,position,speed,angular_velocity
46,1748487801476,44.400000,12.000000,0.000000
46,1748487801476,45.600000,12.000000,0.000000
46,1748487801476,46.800000,12.000000,0.000000
46,1748487801476,48.000000,12.000000,0.000000
46,1748487801476,49.200000,12.000000,0.000000
46,1748487801476,50.400000,12.000000,0.000000
46,1748487801476,51.600000,12.000000,0.000000
46,1748487801476,52.800000,12.000000,0.000000
46,1748487801476,54.000000,12.000000,0.000000
46,1748487801476,55.200000,12.000000,0.000000
46,1748487801476,56.400000,12.000000,0.000000
46,1748487801476,57.600000,12.000000,0.000000
46,1748487801476,58.800000,12.000000,0.000000
46,1748487801476,60.000000,12.000000,0.000000
46,1748487801476,61.200000,12.000000,0.000000
46,1748487801476,62.400000,12.000000,0.000000
46,1748487801476,63.600000,12.000000,0.000000
46,1748487801476,64.800000,12.000000,0.000000
46,1748487801476,66.000000,12.000000,0.000000
46,1748487801476,67.200000,12.000000,0.000000
46,1748487801476,68.400000,12.000000,0.000000
46,1748487801476,69.600000,12.000000,0.000000
46,1748487801476,70.800000,12.000000,0.000000
46,1748487801476,72.000000,12.000000,0.000000
46,1748487801476,73.200000,12.000000,0.000000
46,1748487801476,74.400000,12.000000,0.000000
46,1748487801476,75.600000,12.000000,0.000000
46,1748487801476,76.800000,12.000000,0.000000
46,1748487801476,78.000000,12.000000,0.000000
46,1748487801476,79.200000,12.000000,0.000000
46,1748487801476,80.400000,12.000000,0.000000
46,1748487801476,81.600000,12.000000,0.000000
46,1748487801476,82.800000,12.000000,0.000000
46,1748487801476,84.000000,12.000000,0.000000
46,1748487801476,85.200000,12.000000,0.000000
46,1748487801476,86.400000,12.000000,0.000000
46,1748487801476,87.600000,12.000000,0.000000
47,1748487802476,0.086063,0.007048,0.000000
47,1748487802476,0.160812,1.498307,0.000000
47,1748487802476,0.387800,3.051816,0.000000
47,1748487802476,0.773250,4.667574,0.000000
47,1748487802476,1.323389,6.345580,0.000000
47,1748487802476,2.044441,8.085835,0.000000
47,1748487802476,2.942631,9.888339,0.000000
47,1748487802476,4.024184,11.753092,0.000000
47,1748487802476,5.295325,13.680094,0.000000
47,1748487802476,6.762278,15.669345,0.000000
47,1748487802476,8.431269,17.720844,0.000000
47,1748487802476,10.308522,19.834592,0.000000
47,1748487802476,12.400262,22.010589,0.000000
47,1748487802476,14.712715,24.248835,0.000000
47,1748487802476,17.252104,26.549330,0.000000
47,1748487802476,20.024656,28.912074,0.000000
47,1748487802476,23.036594,31.337067,0.000000
47,1748487802476,26.294144,33.824308,0.000000
47,1748487802476,29.803530,36.373798,0.000000
47,1748487802476,33.570978,38.985537,0.000000
47,1748487802476,37.602713,41.659525,0.000000
47,1748487802476,41.904958,44.395762,0.000000
47,1748487802476,46.483940,47.194248,0.000000
47,1748487802476,51.345883,50.054982,0.000000
47,1748487802476,56.497012,52.977965,0.000000
47,1748487802476,61.943551,55.963197,0.000000
47,1748487802476,67.691726,59.010678,0.000000
47,1748487802476,73.747762,62.120408,0.000000
47,1748487802476,80.117883,65.292387,0.000000
47,1748487802476,86.808314,68.526615,0.000000
47,1748487802476,93.825281,71.823091,0.000000
47,1748487802476,101.175007,75.181816,0.000000
47,1748487802476,108.863719,78.602790,0.000000
47,1748487802476,116.897640,82.086013,0.000000
47,1748487802476,125.282996,85.631485,0.000000
47,1748487802476,134.026012,89.239206,0.000000
47,1748487802476,143.132912,92.909175,0.000000
47,1748487802476,152.609922,96.641393,0.000000
47,1748487802476,162.463266,100.435861,0.000000
47,1748487802476,172.699169,104.292577,0.000000
47,1748487802476,183.323856,108.211541,0.000000
47,1748487802476,194.343552,112.192755,0.000000
47,1748487802476,205.764482,116.236218,0.000000
47,1748487802476,217.592871,120.341929,0.000000
47,1748487802476,229.834943,124.509889,0.000000
47,1748487802476,242.496924,128.740098,0.000000
47,1748487802476,255.585038,133.032556,0.000000
47,1748487802476,269.105510,137.387263,0.000000
47,1748487802476,283.064565,141.804219,0.000000
47,1748487802476,297.468429,146.283423,0.000000
47,1748487802476,312.323325,150.824877,0.000000
47,1748487802476,327.635479,155.428579,0.000000
47,1748487802476,343.411116,160.094530,0.000000
47,1748487802476,359.656460,164.822730,0.000000
47,1748487802476,376.377736,169.613178,0.000000
47,1748487802476,393.581170,174.465876,0.000000
47,1748487802476,411.272987,179.380822,0.000000
47,1748487802476,429.459410,184.358017,0.000000
47,1748487802476,448.146665,189.397462,0.000000
47,1748487802476,467.340977,194.499154,0.000000
47,1748487802476,487.048571,199.663096,0.000000
47,1748487802476,507.275671,204.889287,0.000000
47,1748487802476,528.028503,210.177726,0.000000
47,1748487802476,549.313292,215.528415,0.000000
47,1748487802476,571.136261,220.941352,0.000000
47,1748487802476,593.503637,226.416538,0.000000
47,1748487802476,616.421644,231.953973,0.000000
47,1748487802476,639.896506,237.553656,0.000000
47,1748487802476,663.934450,243.215589,0.000000
47,1748487802476,688.541699,248.939770,0.000000
47,1748487802476,713.724479,254.726201,0.000000
47,1748487802476,739.489014,260.574880,0.000000
47,1748487802476,765.841530,266.485808,0.000000
47,1748487802476,792.788251,272.458985,0.000000
48,1748487803476,0.000000,12.000000,0.000000
48,1748487803476,1.200000,12.000000,0.000000
48,1748487803476,2.400000,12.000000,0.000000
48,1748487803476,3.600000,12.000000,0.000000
48,1748487803476,4.800000,12.000000,0.000000
48,1748487803476,6.000000,12.000000,0.000000
48,1748487803476,7.200000,12.000000,0.000000
48,1748487803476,8.400000,12.000000,0.000000
48,1748487803476,9.600000,12.000000,0.000000
48,1748487803476,10.800000,12.000000,0.000000
48,1748487803476,12.000000,12.000000,0.000000
48,1748487803476,13.200000,12.000000,0.000000
48,1748487803476,14.400000,12.000000,0.000000
48,1748487803476,15.600000,12.000000,0.000000
48,1748487803476,16.800000,12.000000,0.000000
48,1748487803476,18.000000,12.000000,0.000000
48,1748487803476,19.200000,12.000000,0.000000
48,1748487803476,20.400000,12.000000,0.000000
48,1748487803476,21.600000,12.000000,0.000000
48,1748487803476,22.800000,12.000000,0.000000
48,1748487803476,24.000000,12.000000,0.000000
48,1748487803476,25.200000,12.000000,0.000000
48,1748487803476,26.400000,12.000000,0.000000
48,1748487803476,27.600000,12.000000,0.000000
48,1748487803476,28.800000,12.000000,0.000000
48,1748487803476,30.000000,12.000000,0.000000
48,1748487803476,31.200000,12.000000,0.000000
48,1748487803476,32.400000,12.000000,0.000000
48,1748487803476,33.600000,12.000000,0.000000
48,1748487803476,34.800000,12.000000,0.000000
48,1748487803476,36.000000,12.000000,0.000000
48,1748487803476,37.200000,12.000000,0.000000
48,1748487803476,38.400000,12.000000,0.000000
48,1748487803476,39.600000,12.000000,0.000000
48,1748487803476,40.800000,12.000000,0.000000
48,1748487803476,42.000000,12.000000,0.000000
48,1748487803476,43.200000,12.000000,0.000000
48,1748487803476,44.400000,12.000000,0.000000
48,1748487803476,45.600000,12.000000,0.000000
48,1748487803476,46.800000,12.000000,0.000000
48,1748487803476,48.000000,12.000000,0.000000
48,1748487803476,49.200000,12.000000,0.000000
48,1748487803476,50.400000,12.000000,0.000000
48,1748487803476,51.600000,12.000000,0.000000
48,1748487803476,52.800000,12.000000,0.000000
48,1748487803476,54.000000,12.000000,0.000000
48,1748487803476,55.200000,12.000000,0.000000
48,1748487803476,56.400000,12.000000,0.000000
48,1748487803476,57.600000,12.000000,0.000000
48,1748487803476,58.800000,12.000000,0.000000
48,1748487803476,60.000000,12.000000,0.000000
48,1748487803476,61.200000,12.000000,0.000000
48,1748487803476,62.400000,12.000000,0.000000
48,1748487803476,63.600000,12.000000,0.000000
48,1748487803476,64.800000,12.000000,0.000000
48,1748487803476,66.000000,12.000000,0.000000
48,1748487803476,67.200000,12.000000,0.000000
48,1748487803476,68.400000,12.000000,0.000000
48,1748487803476,69.600000,12.000000,0.000000
48,1748487803476,70.800000,12.000000,0.000000
48,1748487803476,72.000000,12.000000,0.000000
48,1748487803476,73.200000,12.000000,0.000000
48,1748487803476,74.400000,12.000000,0.000000
48,1748487803476,75.600000,12.000000,0.000000
48,1748487803476,76.800000,12.000000,0.000000
48,1748487803476,78.000000,12.000000,0.000000
48,1748487803476,79.200000,12.000000,0.000000
48,1748487803476,80.400000,12.000000,0.000000
48,1748487803476,81.600000,12.000000,0.000000
48,1748487803476,82.800000,12.000000,0.000000
48,1748487803476,84.000000,12.000000,0.000000
48,1748487803476,85.200000,12.000000,0.000000
48,1748487803476,86.400000,12.000000,0.000000
48,1748487803476,87.600000,12.000000,0.000000
49,1748487804476,0.089820,0.006108,0.000000
49,1748487804476,0.164478,1.497441,0.000000
49,1748487804476,0.391383,3.051025,0.000000
49,1748487804476,0.776758,4.666859,0.000000
49,1748487804476,1.326830,6.344943,0.000000
49,1748487804476,2.047822,8.085277,0.000000
49,1748487804476,2.945960,9.887861,0.000000
49,1748487804476,4.027469,11.752695,0.000000
49,1748487804476,5.298574,13.679779,0.000000
49,1748487804476,6.765500,15.669114,0.000000
49,1748487804476,8.434472,17.720698,0.000000
49,1748487804476,10.311715,19.834532,0.000000
49,1748487804476,12.403453,22.010617,0.000000
49,1748487804476,14.715913,24.248951,0.000000
49,1748487804476,17.255319,26.549536,0.000000
49,1748487804476,20.027895,28.912370,0.000000
49,1748487804476,23.039868,31.337455,0.000000
49,1748487804476,26.297461,33.824790,0.000000
49,1748487804476,29.806901,36.374375,0.000000
49,1748487804476,33.574411,38.986209,0.000000
49,1748487804476,37.606218,41.660294,0.000000
49,1748487804476,41.908545,44.396629,0.000000
49,1748487804476,46.487618,47.195214,0.000000
49,1748487804476,51.349663,50.056049,0.000000
49,1748487804476,56.500903,52.979135,0.000000
49,1748487804476,61.947565,55.964470,0.000000
49,1748487804476,67.695872,59.012055,0.000000
49,1748487804476,73.752051,62.121891,0.000000
49,1748487804476,80.122325,65.293976,0.000000
49,1748487804476,86.812921,68.528311,0.000000
49,1748487804476,93.830063,71.824897,0.000000
49,1748487804476,101.179975,75.183733,0.000000
49,1748487804476,108.868884,78.604818,0.000000
49,1748487804476,116.903014,82.088154,0.000000
49,1748487804476,125.288590,85.633740,0.000000
49,1748487804476,134.031837,89.241576,0.000000
49,1748487804476,143.138980,92.911662,0.000000
49,1748487804476,152.616244,96.643998,0.000000
49,1748487804476,162.469855,100.438584,0.000000
49,1748487804476,172.706036,104.295420,0.000000
49,1748487804476,183.331014,108.214506,0.000000
49,1748487804476,194.351012,112.195842,0.000000
49,1748487804476,205.772257,116.239428,0.000000
49,1748487804476,217.600973,120.345265,0.000000
49,1748487804476,229.843385,124.513351,0.000000
49,1748487804476,242.505718,128.743688,0.000000
49,1748487804476,255.594197,133.036274,0.000000
49,1748487804476,269.115048,137.391111,0.000000
49,1748487804476,283.074495,141.808197,0.000000
49,1748487804476,297.478762,146.287534,0.000000
49,1748487804476,312.334076,150.829121,0.000000
49,1748487804476,327.646662,155.432958,0.000000
49,1748487804476,343.422743,160.099045,0.000000
49,1748487804476,359.668546,164.827382,0.000000
49,1748487804476,376.390294,169.617969,0.000000
49,1748487804476,393.594214,174.470806,0.000000
49,1748487804476,411.286530,179.385893,0.000000
49,1748487804476,429.473468,184.363230,0.000000
49,1748487804476,448.161252,189.402818,0.000000
49,1748487804476,467.356106,194.504655,0.000000
49,1748487804476,487.064258,199.668742,0.000000
49,1748487804476,507.291930,204.895080,0.000000
49,1748487804476,528.045348,210.183667,0.000000
49,1748487804476,549.330738,215.534505,0.000000
49,1748487804476,571.154324,220.947593,0.000000
49,1748487804476,593.522332,226.422930,0.000000
49,1748487804476,616.440986,231.960518,0.000000
49,1748487804476,639.916510,237.560356,0.000000
49,1748487804476,663.955132,243.222444,0.000000
49,1748487804476,688.563074,248.946782,0.000000
49,1748487804476,713.746563,254.733370,0.000000
49,1748487804476,739.511823,260.582208,0.000000
49,1748487804476,765.865080,266.493296,0.000000
49,1748487804476,792.812557,272.466634,0.000000
50,1748487805476,0.091096,0.005031,0.000000
50,1748487805476,0.165663,1.496682,0.000000
50,1748487805476,0.392508,3.050595,0.000000
50,1748487805476,0.777857,4.666770,0.000000
50,1748487805476,1.327937,6.345209,0.000000
50,1748487805476,2.048974,8.085910,0.000000
50,1748487805476,2.947194,9.888873,0.000000
50,1748487805476,4.028824,11.754100,0.000000
50,1748487805476,5.300090,13.681589,0.000000
50,1748487805476,6.767217,15.671340,0.000000
50,1748487805476,8.436433,17.723354,0.000000
50,1748487805476,10.313964,19.837631,0.000000
50,1748487805476,12.406035,22.014171,0.000000
50,1748487805476,14.718873,24.252973,0.000000
50,1748487805476,17.258705,26.554038,0.000000
50,1748487805476,20.031756,28.917365,0.000000
50,1748487805476,23.044254,31.342956,0.000000
50,1748487805476,26.302423,33.830808,0.000000
50,1748487805476,29.812491,36.380924,0.000000
50,1748487805476,33.580683,38.993302,0.000000
50,1748487805476,37.613226,41.667943,0.000000
50,1748487805476,41.916347,44.404846,0.000000
50,1748487805476,46.496271,47.204012,0.000000
50,1748487805476,51.359225,50.065441,0.000000
50,1748487805476,56.511435,52.989132,0.000000
50,1748487805476,61.959127,55.975086,0.000000
50,1748487805476,67.708527,59.023303,0.000000
50,1748487805476,73.765863,62.133783,0.000000
50,1748487805476,80.137359,65.306525,0.000000
50,1748487805476,86.829243,68.541529,0.000000
50,1748487805476,93.847741,71.838796,0.000000
50,1748487805476,101.199078,75.198326,0.000000
50,1748487805476,108.889481,78.620119,0.000000
50,1748487805476,116.925177,82.104174,0.000000
50,1748487805476,125.312392,85.650492,0.000000
50,1748487805476,134.057351,89.259073,0.000000
50,1748487805476,143.166282,92.929916,0.000000
50,1748487805476,152.645410,96.663022,0.000000
50,1748487805476,162.500961,100.458390,0.000000
50,1748487805476,172.739163,104.316022,0.000000
50,1748487805476,183.366241,108.235915,0.000000
50,1748487805476,194.388422,112.218072,0.000000
50,1748487805476,205.811931,116.262491,0.000000
50,1748487805476,217.642995,120.369173,0.000000
50,1748487805476,229.887841,124.538117,0.000000
50,1748487805476,242.552694,128.769324,0.000000
50,1748487805476,255.643781,133.062794,0.000000
50,1748487805476,269.167328,137.418527,0.000000
50,1748487805476,283.129562,141.836522,0.000000
50,1748487805476,297.536708,146.316779,0.000000
50,1748487805476,312.394993,150.859300,0.000000
50,1748487805476,327.710643,155.464083,0.000000
50,1748487805476,343.489885,160.131128,0.000000
50,1748487805476,359.738945,164.860437,0.000000
50,1748487805476,376.464048,169.652008,0.000000
50,1748487805476,393.671422,174.505841,0.000000
50,1748487805476,411.367292,179.421938,0.000000
50,1748487805476,429.557884,184.400296,0.000000
50,1748487805476,448.249426,189.440918,0.000000
50,1748487805476,467.448143,194.543802,0.000000
50,1748487805476,487.160262,199.708949,0.000000
50,1748487805476,507.392009,204.936359,0.000000
50,1748487805476,528.149609,210.226031,0.000000
50,1748487805476,549.439290,215.577966,0.000000
50,1748487805476,571.267278,220.992163,0.000000
50,1748487805476,593.639798,226.468623,0.000000
50,1748487805476,616.563078,232.007346,0.000000
50,1748487805476,640.043343,237.608332,0.000000
50,1748487805476,664.086820,243.271580,0.000000
50,1748487805476,688.699734,248.997091,0.000000
50,1748487805476,713.888313,254.784864,0.000000
50,1748487805476,739.658783,260.634900,0.000000
50,1748487805476,766.017369,266.547199,0.000000
50,1748487805476,792.970298,272.521760,0.000000
51,1748487806476,0.094814,0.002280,0.000000
51,1748487806476,0.169101,1.493839,0.000000
51,1748487806476,0.395656,3.047645,0.000000
51,1748487806476,0.780705,4.663701,0.000000
51,1748487806476,1.330471,6.342004,0.000000
51,1748487806476,2.051181,8.082555,0.000000
51,1748487806476,2.949057,9.885355,0.000000
51,1748487806476,4.030326,11.750402,0.000000
51,1748487806476,5.301213,13.677698,0.000000
51,1748487806476,6.767941,15.667242,0.000000
51,1748487806476,8.436736,17.719034,0.000000
51,1748487806476,10.313823,19.833074,0.000000
51,1748487806476,12.405426,22.009363,0.000000
51,1748487806476,14.717770,24.247899,0.000000
51,1748487806476,17.257081,26.548684,0.000000
51,1748487806476,20.029582,28.911717,0.000000
51,1748487806476,23.041499,31.336998,0.000000
51,1748487806476,26.299056,33.824527,0.000000
51,1748487806476,29.808479,36.374304,0.000000
51,1748487806476,33.575992,38.986329,0.000000
51,1748487806476,37.607820,41.660603,0.000000
51,1748487806476,41.910188,44.397125,0.000000
51,1748487806476,46.489320,47.195894,0.000000
51,1748487806476,51.351442,50.056912,0.000000
51,1748487806476,56.502777,52.980178,0.000000
51,1748487806476,61.949552,55.965693,0.000000
51,1748487806476,67.697991,59.013455,0.000000
51,1748487806476,73.754318,62.123466,0.000000
51,1748487806476,80.124759,65.295724,0.000000
51,1748487806476,86.815538,68.530231,0.000000
51,1748487806476,93.832880,71.826986,0.000000
51,1748487806476,101.183010,75.185989,0.000000
51,1748487806476,108.872153,78.607240,0.000000
51,1748487806476,116.906533,82.090740,0.000000
51,1748487806476,125.292376,85.636487,0.000000
51,1748487806476,134.035905,89.244483,0.000000
51,1748487806476,143.143347,92.914727,0.000000
51,1748487806476,152.620926,96.647219,0.000000
51,1748487806476,162.474866,100.441959,0.000000
51,1748487806476,172.711392,104.298947,0.000000
51,1748487806476,183.336730,108.218183,0.000000
51,1748487806476,194.357104,112.199668,0.000000
51,1748487806476,205.778739,116.243400,0.000000
51,1748487806476,217.607859,120.349381,0.000000
51,1748487806476,229.850690,124.517610,0.000000
51,1748487806476,242.513456,128.748087,0.000000
51,1748487806476,255.602382,133.040813,0.000000
51,1748487806476,269.123693,137.395786,0.000000
51,1748487806476,283.083614,141.813007,0.000000
51,1748487806476,297.488370,146.292477,0.000000
51,1748487806476,312.344185,150.834195,0.000000
